,champion,voice_line,is_spoken,gender,role,win_rate,pick_rate,ban_rate,region
176,Aatrox,"I know your name, Fiora. This is not a duel you shall win.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
177,Aatrox,A statue? Rock shatters as easily as bone! Come!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
178,Aatrox,Guns and oranges? Are you a cliché or a joke? Come! Fight! Die!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
179,Aatrox,"Scream 'Demacia', Garen! Scream its name before I crush you, and it!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
180,Aatrox,"I kill gods, priestess. Let us continue this fight... until all things stop!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
181,Aatrox,"A worthy vessel! Come, Jax!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
182,Aatrox,"You would rush towards me, Kai'Sa? What fool would build a strategy on that idea? Come, let us begin.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
183,Aatrox,"Let me show you your error, Kayle! You are not worthy of ascension! You, are not worthy of the worms!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
184,Aatrox,"Ooh, a shadow warrior! How edgy!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
185,Aatrox,"I did not think my fellows weak, Rhaast! Already you disappoint me!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
186,Aatrox,"A lightning squirrel?"" *Laughs* ""Thank you! Your death will amuse me!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
187,Aatrox,"Look at your noble courage, Darius! Now learn... despair.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
188,Aatrox,"Are you a joke, you loud, horrible thing? I shall kill you and your steed!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
189,Aatrox,"Am I challenged by a tree?! Fine, let me build a pyre from you!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
190,Aatrox,"Nasus, is your wisdom enough to know your fate? I am your death!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
191,Aatrox,"Your noble purpose amuses me, Nautilus! Fight me, see true death!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
192,Aatrox,"Hail father Ornn, god of fire and forge!"" *Laughs* ""I am Aatrox, and I am the god killer!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
193,Aatrox,Hail Pantheon! Let me hear you cry of friendship! Let me hear you scream of brotherhood!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
194,Aatrox,Hail Pantheon! See the weapon I have become! Watch as you are destroyed!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
195,Aatrox,Hail Pantheon! How noble and proud he carries himself! Come betrayer! Come fiend!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
196,Aatrox,"A bird? You would challenge me with a bird?!"" *Laughs* ""Come!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
197,Aatrox,"Renekton! In your madness, you know my suffering! Though I shall end yours.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
198,Aatrox,"Riven, dance, child! That broken blade is no match for me!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
199,Aatrox,"Cleave through them, Aatrox! Crush their skulls! Shatter their ribs! Disembowl their very souls!"" *Heavy breathing* ""Our vengeance is at hand!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
200,Aatrox,"You would challenge me in a machine? You are a strange spirit, Rumble.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
201,Aatrox,"Where is your head, rock thing? Where is the neck I shall sever?",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
202,Aatrox,"Scissors for legs... Okay, I thought I had seen stupid designs before... Alright, let's go.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
203,Aatrox,"You would bind yourself to this realm. Morgana? Fine, let me show you the ground!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
204,Aatrox,"Tricks, Akali? They will not hide you from me, face your doom.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
205,Aatrox,"The heavens, the endless skies folding into each other. Where are they now?",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
206,Aatrox,How far I have fallen! A god... reduced to a prisoner!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
207,Aatrox,"Another foolish god, even the phoenix shall end.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
208,Aatrox,"Once in noble battle, I screamed against the silence. I stood as light against the darkness. Now, I serve a new master... oblivion...",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
209,Aatrox,See what beasts they have reduced us to... Creatures of flesh sustained only by this filth's blood and form!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
210,Aatrox,"From entire villages and towns, I will rend the flesh... Until I stand... as an unholy god.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
