,champion,voice_line,is_spoken
71,Aatrox,"I beg, let some challenge me today... So that I may tear out their hearts! Pray! Let me watch them die, eyes knowing they served... my dark purpose...",True
72,Aatrox,"""No beast so fierce, but knows some touch of pity... But I know none... and therefore am no beast."" *Laughs*",False
73,Aatrox,"To war, Aatrox! They shall not rob us of our nobility! We shall stand, and spit venom at our tormentors for eternity!",True
74,Aatrox,I do not obey! I cannot lay down! I will be the ender of all things!,True
75,Aatrox,"We march to battle... Let me carve flesh, let me cloak myself in the slaughter! Hide me in their carnage... Hide me from this suffering...",True
76,Aatrox,"I shall regard their cries as braying steeds, waiting to be whipped, broken, and bridled!",True
77,Aatrox,I am in a cage within a prison... But this foul shape reminds me of my purpose!,True
78,Aatrox,Do you see my edge?! Your death awaits!,True
79,Aatrox,"Pray, fool! You face a Darkin.",True
80,Aatrox,This violence shall amuse!,True
81,Aatrox,Our duel begins.,True
82,Aatrox,Come closer! I will show you... darkness!,True
83,Aatrox,"Come, fight me!",True
84,Aatrox,"Tricks, Akali? They will not hide you from me, face your doom.",True
85,Aatrox,"Another foolish god, even the phoenix shall end.",True
86,Aatrox,"Scissors for legs... Okay, I thought I had seen stupid designs before... Alright, let's go.",True
87,Aatrox,"Look at your noble courage, Darius! Now learn... despair.",True
88,Aatrox,"You are unloved, Mundo! Now, face judgement!",True
89,Aatrox,"I know your name, Fiora. This is not a duel you shall win.",True
90,Aatrox,A statue? Rock shatters as easily as bone! Come!,True
91,Aatrox,Guns and oranges? Are you a cliché or a joke? Come! Fight! Die!,True
92,Aatrox,"Scream 'Demacia', Garen! Scream its name before I crush you, and it!",True
93,Aatrox,"I kill gods, priestess. Let us continue this fight... until all things stop!",True
94,Aatrox,"A worthy vessel! Come, Jax!",True
95,Aatrox,"You would rush towards me, Kai'Sa? What fool would build a strategy on that idea? Come, let us begin.",True
96,Aatrox,"Let me show you your error, Kayle! You are not worthy of ascension! You, are not worthy of the worms!",True
97,Aatrox,"Ooh, a shadow warrior! How edgy!",True
98,Aatrox,"I did not think my fellows weak, Rhaast! Already you disappoint me!",True
99,Aatrox,"A lightning squirrel?"" *Laughs* ""Thank you! Your death will amuse me!",True
100,Aatrox,"Are you a joke, you loud, horrible thing? I shall kill you and your steed!",True
101,Aatrox,"Where is your head, rock thing? Where is the neck I shall sever?",True
102,Aatrox,"Am I challenged by a tree?! Fine, let me build a pyre from you!",True
103,Aatrox,"You would bind yourself to this realm. Morgana? Fine, let me show you the ground!",True
104,Aatrox,"Nasus, is your wisdom enough to know your fate? I am your death!",True
105,Aatrox,"Your noble purpose amuses me, Nautilus! Fight me, see true death!",True
106,Aatrox,"Hail father Ornn, god of fire and forge!"" *Laughs* ""I am Aatrox, and I am the god killer!",True
107,Aatrox,Hail Pantheon! Let me hear you cry of friendship! Let me hear you scream of brotherhood!,True
108,Aatrox,Hail Pantheon! See the weapon I have become! Watch as you are destroyed!,True
109,Aatrox,Hail Pantheon! How noble and proud he carries himself! Come betrayer! Come fiend!,True
110,Aatrox,"A bird? You would challenge me with a bird?!"" *Laughs* ""Come!",True
111,Aatrox,"Renekton! In your madness, you know my suffering! Though I shall end yours.",True
112,Aatrox,"Riven, dance, child! That broken blade is no match for me!",True
113,Aatrox,"You would challenge me in a machine? You are a strange spirit, Rumble.",True
114,Aatrox,"A spirit blade, master Shen? Test it agaist me, let me shatter your illusions!",True
115,Aatrox,Yes Sion! I kill even that which will not die! I end all things!,True
116,Aatrox,"Hail the protector! Hail Taric, aspect of- get a haircut!",True
117,Aatrox,"Cowardly spirit, how annoying you are! I will savour killing you, Teemo!",True
118,Aatrox,"A troll king?! Come! Defend your throne, king of trolls!",True
119,Aatrox,"*Laughs* ""Yes, Tryndamere! I am the cause of your suffering! See if you can cut justice from me!""",False
120,Aatrox,"I wait for you, Tryndamere! Come, take your vengeance!",True
121,Aatrox,"Remember the screams of your kinsmen as you fall to me, Tryndamere!",True
122,Aatrox,"Rage? You are just flesh, Tryndamere, ready for harvesting!",True
123,Aatrox,You would end worlds? As a bow?!,True
124,Aatrox,"I will not send you to death, Yorick! I bring oblivion!",True
125,Aatrox,"I know it was you, trickster! You gave them the tools to trap me! Come, let me kill you! A thousand times isn't enough!",True
126,Aatrox,My will... is beyond death!,True
127,Aatrox,I am Darkin! I do not die!,True
128,Aatrox,"Behold, immortality!",True
129,Aatrox,A scythe? A scythe?! Are you planning on murdering fields of wheat?!,True
130,Aatrox,"I chose a sword, the noblest weapon, Rhaast. You- seriously I don't understand... Were you trapped in the gardening section?",True
131,Aatrox,"We all agreed on the double 'A' thing, Varus. The double 'A' thing!",True
132,Aatrox,"Varus, 'V' 'A' 'R' 'U' 'S', your name should have an 'A' and then another 'A', Varus. There was a memo, Varus, there was a memo!",True
133,Aatrox,I will find a way to tear down the heavens and reveal you as fiends! Not today obviously...,True
134,Aatrox,"Do I resemble you, abomination? Your form isn't my destiny... is it? You don't know how to talk, do you? Shit...",True
135,Aatrox,"I am like a demon, but more edgy, right? You know, cause I'm a sword. Hmm...",True
136,Aatrox,"So uh, I'm Aatrox. I'm a transcendental being trapped inside cutlery... What's your deal?",True
137,Aatrox,"Uh, nice world you have here. I intend to destroy it, you know, FYI.",True
138,Aatrox,Aatrox laughs,False
141,Aatrox,"Come, let me show you darkness!",True
142,Aatrox,Fight! Join me in death!,True
143,Aatrox,Your death awaits!,True
144,Aatrox,"I will hack and chop and cleave, and sunder the filth of your forms!",True
145,Aatrox,"I am not your enemy, I am the enemy!",True
146,Aatrox,I am Darkin! Your gods fear me!,True
147,Aatrox,I will sever your limbs! I will carve your souls!,True
148,Aatrox,Carnage is my method.,True
149,Aatrox,"I can smile, and murder while I smile.",True
150,Aatrox,"Suffer, as I suffer!",True
151,Aatrox,Carnage... Hoooooome...,True
152,Aatrox,Hear this cursed form sing!,True
153,Aatrox,Sorrow... I shall deliver it to you.,True
154,Aatrox,"I begged for death, now I am its bringer!",True
155,Aatrox,I am the god killer!,True
156,Aatrox,"Come!"" *Grunt* ""Destiny awaits!",True
157,Aatrox,"You would fight me?! Come, let me show you hell!",True
158,Aatrox,Your annihilation beckons!,True
159,Aatrox,Violence... distracts me from these chains!,True
160,Aatrox,Aatrox snarls.,False
161,Aatrox,Aatrox roars.,False
162,Aatrox,"I come for you, Pantheon.",True
163,Aatrox,"The power of an aspect, wasted on a fool!",True
164,Aatrox,"I killed your tribe. Now, join them!",True
165,Aatrox,Tryndamere! This is your destiny!,True
166,Aatrox,"I will gut you, and tear you from existence, trickster!",True
167,Aatrox,Aspect of change! Now you die!,True
168,Aatrox,Aatrox yells.,False
177,Aatrox,Aatrox grunts.,False
179,Aatrox,Fight! Or be forgotten!,True
180,Aatrox,Become... hate!,True
181,Aatrox,I offer you victory!,True
182,Aatrox,Let blood be our sacrament!,True
183,Aatrox,Follow me into destruction!,True
192,Aatrox,This is your absolution.,True
193,Aatrox,"To the end of times, I shall kill you again and again.",True
194,Aatrox,This was reckoning.,True
195,Aatrox,You die... a fool.,True
196,Aatrox,"I brought you the one true gift, I brought you... death!",True
197,Aatrox,Your broken form speaks only of failure.,True
198,Aatrox,"Carnage, my last joy.",True
199,Aatrox,This is the silence I seek.,True
200,Aatrox,I will have silence.,True
201,Aatrox,Resurrect! Return! So I may kill you again...,True
202,Aatrox,This is my gift to mortals.,True
203,Aatrox,I sing only in your deaths.,True
204,Aatrox,"I do not need to show my mastery, it is self-evident.",True
205,Aatrox,"Resurrection, an endless cycle of life... A dead bird.",True
206,Aatrox,"What foolish plan bore a woman such as you, Camille? You were a folly, crafted by an idiot.",True
207,Aatrox,"The axe suited you, Darius, the weapon of a simpleton!",True
208,Aatrox,"I expected you to be nimble, Fiora. Too easily, my blade crushed your spine.",True
209,Aatrox,"Yo ho, Gangplank, yo ho.",True
210,Aatrox,"Demacia!"" *Laughs* ""Whatever 'Demacia' is, I will slay it next!",True
211,Aatrox,"In time I will learn how to kill even your god, Illaoi!",True
212,Aatrox,"I cannot know if I was corrupted by the void, but at least my choices were not asinine.",True
213,Aatrox,"Die, Kayle, knowing your potential will never be reached.",True
214,Aatrox,I cannot have brotherhood with incompetence.,True
215,Aatrox,What is property? Why did this dead hamster want me off of it?,True
216,Aatrox,"I kill mountains, Malphite! Dumb piles of rocks!",True
217,Aatrox,"Hear me, tree spirit. Your form is but kindling, and your forests I will burn!",True
218,Aatrox,"You disgust me, Morgana. Die in the filth of your bound flesh!",True
219,Aatrox,"Yes, Shurima was meant to fall, Nasus, as were you!",True
220,Aatrox,Journey back to the deep!,True
221,Aatrox,"Ornn, like all gods, you disappoint!",True
222,Aatrox,"Pantheon, you crawl forward like a worm! Ready to be squashed again?",True
223,Aatrox,"Now your body matches your blade, Riven: broken and worthless!",True
224,Aatrox,"Die, Shen, knowing the Eye of the Twilight is blinded and plucked.",True
225,Aatrox,"You fought to live, Sion, yet it is I who am still alive. This at least amuses.",True
226,Aatrox,"Lord of starlight, lord of hair! I trample on your corpse, Taric! I spit on your aspect's purpose!",True
227,Aatrox,"A spirit for cowards, I laugh at your tricks and mushrooms!",True
228,Aatrox,"I thought you my next vessel, Tryndamere. Pity, you failed even to become a slave.",True
229,Aatrox,"Return again to your prison, Varus. Think upon your worthlessness!",True
230,Aatrox,"Honestly, a bow and two boys? What was your plan, Varus?",True
231,Aatrox,"How I loathe your freedom, trickster! I will take this vengeance upon you, until the end of times!",True
232,Aatrox,"Mastery? I must congratulate you, obviously your parents never had reason to.",True
233,Aatrox,"Yes, your mastery is the master of masters! I am fighting... an imbecile...",True
234,Aatrox,"Somehow, I doubt you've mastered self-esteem.",True
235,Aatrox,"Mastery, how I idolise your greatness! Though I suspect your weapon lacks... impact.",True
236,Aatrox,"Ah, mastery, well done! Now master your insignificance.",True
237,Aatrox,"Insects, you think you can kill me? Behold my curse!",True
238,Aatrox,You cannot destroy me!,True
239,Aatrox,I do not die!,True
240,Aatrox,"*Grunt* ""Nothing can kill me!""",False
241,Aatrox,I return!,True
242,Aatrox,"*Laughs* ""Yes! Fight me!""",False
243,Aatrox,I... am not a mortal!,True
244,Aatrox,Did you think you could kill me?!,True
245,Aatrox,You think you can kill me?,True
246,Aatrox,"As long as life exists, as long as time has meaning, I am not done!",True
248,Aatrox,Aatrox gasps.,False
252,Aatrox,"Aatrox gasps, then roars.",False
253,Aatrox,Aatrox groans.,False
256,Ahri,Don't you trust me?,True
257,Ahri,Playtime's over.,True
258,Ahri,Shall we?,True
259,Ahri,Indulge me.,True
260,Ahri,How tempting.,True
261,Ahri,Don't hold back.,True
262,Ahri,Tell me a secret.,True
264,Ahri,I know what they desire.,True
265,Ahri,"""Should I make your pulse rise? Or... stop!"" *Giggles*",False
266,Ahri,"If you'd like to play with me, you'd better be sure you know the game.",True
267,Ahri,"""Come try your luck, if you think you're in my league."" *Giggles*",False
268,Ahri,Ahri laughs.,False
272,Ahri,Plays a segment of her theme.,False
273,Ahri,Ahri grunts.,False
278,Ahri,They're mine now.,True
279,Ahri,It's too late for mercy.,True
280,Ahri,Let's have some real fun.,True
281,Ahri,No one will stand in my way.,True
282,Ahri,They've exhausted their use.,True
299,Ahri,Ahri dances to a tune.,False
300,Ahri,Ahri plays a game on her arcade cabinet before entering it.,False
301,Ahri,"Ahri dances to an instrumental version of ""POP/STARS"".",False
302,Ahri,Ahri groans.,False
306,Ahri,"A stripped-down version of ""A New Horizon"" plays, which then switches to ""Burning Bright"".",False
307,Ahri,"Come on Kiko, we're the life of the party.",True
308,Ahri, Kiko chirps.,False
309,Ahri,The First Star doesn't control my destiny! I do.,True
310,Ahri,The darkest night makes for the brightest stars!,True
311,Ahri,I don't want to think about the past. Or the future.,True
312,Ahri,Falling in love. That's how a star falls.,True
313,Ahri,A guardian gives everything they've got!,True
314,Ahri,"Put your game face on, girls.",True
315,Ahri,Star guardians are in it to win it.,True
316,Ahri,Let's show'em what we're made of! Starlight!,True
317,Ahri,Starlight binds us.,True
318,Ahri,Fight for each other! Nothing else matters.,True
319,Ahri,A world without my sisters isn't worth saving.,True
320,Ahri,Time to Supernova!,True
321,Ahri,"The frenemy of my enemy is my... friend? Ugh, something like that.",True
323,Ahri,Right! They're all going to be cosmic dust!,True
324,Ahri,"Have you ever been in love, Kiko?",True
326,Ahri,Aww... That's sweet.,True
328,Ahri,Winning first Kiko.... then ice cream sundaes!,True
329,Ahri, Kiko chirps happily.,False
331,Ahri,Kiko! Such language.,True
333,Ahri,Of course they look up to me. Half the time I'm flying.,True
334,Ahri,Time to save the world!,True
335,Ahri,Let's light up the sky!,True
336,Ahri,Change is coming!,True
337,Ahri,Heavenly body coming through!,True
338,Ahri,I'm playing on nothing but heart!,True
339,Ahri,No one controls me!,True
340,Ahri,I don't accept destiny... I defy it!,True
341,Ahri,Starshine makes everything better!,True
342,Ahri,I can't help it if I'm a natural leader.,True
343,Ahri,This star follows her own path!,True
344,Ahri,It can be a burden to shine so bright!,True
345,Ahri,Starlight is my spotlight!,True
346,Ahri,All I get is attention!... I was hoping for obsession.,True
347,Ahri,"*Giggles* ""Tails don't lie!""",False
348,Ahri,Who's afraid of a little fighting?... I've survived gym class.,True
349,Ahri,Loving too deeply. That's how a star falls.,True
350,Ahri,I'm always chasing the moment!,True
351,Ahri,I think I need a new orbit.,True
352,Ahri,They want to kill me or be me! Either way it's kinda all about me.,True
353,Ahri,Love will tear us apart... If the creatures from an alternate dimension don't first.,True
354,Ahri,"I fight for love, justice and beauty!... But mostly beauty.",True
355,Ahri,Starlight will prevail!,True
356,Ahri,"You can't judge a girl just by how she looks!... Except for me, of course.",True
357,Ahri,My soul is in the sky...,True
358,Ahri,"Sometimes, we have to change the stars.",True
359,Ahri,"People follow stars, Kiko. But what do stars follow?",True
360,Ahri,Love and hope spring forth from the stars! That's worth fighting for!,True
361,Ahri,I can't help it if I woke up like this.,True
362,Ahri,Speed of light? No problem.,True
363,Ahri,Ugh. I do not have time for this.,True
364,Ahri,Hey! Kiko!...,True
365,Ahri,"Oh, cut it out!",True
366,Ahri,"Ugh, Kiko...",True
367,Ahri,"Oh, quit it Kiko!",True
368,Ahri,Uugghhh!,True
369,Ahri,"Uh, hehe! Come here you little rascal!",True
370,Ahri,"Oh, I totally just tied that...",True
371,Ahri,"Bah! Uh, wha? Eh. Huh? Huh?",True
373,Ahri,Magical Girl Make-up tip: Moisturize with the tears of your enemies.,True
374,Ahri,"If looks could kill, you'd already be dead.",True
375,Ahri,Eat stardust! Maybe then you can be pretty on the inside!,True
376,Ahri,Thanks for oversharing.,True
377,Ahri,You can't throw shade on a star!,True
378,Ahri,"Oh, don't worry! I'm way out of your league.",True
379,Ahri,Oh I heard you! I just don't care!,True
380,Ahri,How about a line I haven't heard? Then I'll be impressed.,True
381,Ahri,Talk to the tails cause this fox isn't listening.,True
382,Ahri,I'm a little busy... can I ignore you later?,True
383,Ahri,"Ugh, puh-lease!",True
384,Ahri, Kiko plays with Ahri's tail.,False
393,Ahri,By starlight!,True
394,Ahri,Hey! The starlight in my eyes is up here!,True
395,Ahri,"Yes, I'm the popular one.",True
396,Ahri,"Hey, the stars called, they want you dead.",True
397,Ahri,"By the First Star, I will totally punish you!",True
398,Ahri,I will defend the stars!,True
399,Ahri,Come on and fight like a girl!,True
400,Ahri,I am stronger than starlight.,True
401,Ahri,Put your heart into it!,True
402,Ahri,I was voted 'Most likely to kill you.',True
403,Ahri,Wanna know a secret? Too bad!,True
404,Ahri,Ugh. You're going to fight me wearing that?,True
405,Ahri,I'll be nicer if you get smarter!,True
406,Ahri,I'm so over this!,True
407,Ahri,I've totally got this.,True
408,Ahri,You need to lighten up!,True
409,Ahri,"I don't mean to tease, it's just so easy!",True
410,Ahri,"Awww, did you want my attention?",True
411,Ahri,"Yeah, keep chasing stars. See where that gets you.",True
412,Ahri,Me looking for trouble is like you chasing my tail!,True
413,Ahri,I'm smiling because I'm going to hit you in the face!,True
414,Ahri,You're kinda cute when you're losing.,True
415,Ahri,Here's a twinkle in your eye.,True
416,Ahri,Your inner star is an ugly colour.,True
417,Ahri,Ew! I don't like you.,True
418,Ahri,"Why yes, I did just fall from heaven!",True
419,Ahri,Petty is so close to pretty... just not close enough.,True
420,Ahri,There's a black hole where your personality should be.,True
421,Ahri,I'm the first and LAST star you'll see tonight!,True
422,Ahri,This is how you know I like you.,True
423,Ahri,Wanna see something cute?,True
424,Ahri,I'm going to kill you. That's what the fox says.,True
425,Ahri,Kiko here tells me you're full of it!,True
426,Ahri,"Go get'em, Kiko!",True
427,Ahri,"Let's show'em starlight, Kiko!",True
428,Ahri,"You're such a show off, Kiko!",True
429,Ahri,"Time to grow up, star boy.",True
430,Ahri,All that sparkle and still no personality.,True
431,Ahri,There's more at stake than glitter bombs.,True
432,Ahri,You're gonna need to turn the psycho wayyy down.,True
433,Ahri,Hey! Your crazy is showing.,True
434,Ahri,Nice planet you've got here Lux.,True
435,Ahri,"Before you judge, remember... I am your future.",True
436,Ahri,"Nothing personal, Sarah.",True
437,Ahri,I just can't even.,True
438,Ahri,Innocence is going to get you killed.,True
439,Ahri,I'm not doing this for you.,True
440,Ahri,You look like one of those girls who hang out under the bleachers.,True
441,Ahri,O. M. G. It can speak.,True
442,Ahri,"If I throw a stick, will you leave?",True
443,Ahri,Stop trying to make fetch happen...,True
444,Ahri,"Your boyfriend called, again...",True
445,Ahri,"Playtime's over, Baron!",True
446,Ahri,"Ugh, total dragon breath.",True
447,Ahri,Someone tutor me in algebra while we slay this dragon.,True
453,Ahri,Starlight Reflection!,True
454,Ahri,Time to ignite some stardust!,True
455,Ahri,Stardust power activate!,True
456,Ahri,Let's light'em up!,True
457,Ahri,Ahri grunts,False
461,Ahri,Hey there!,True
462,Ahri,"Charmed, I'm sure.",True
463,Ahri,Oh?,True
464,Ahri,"Oh, you're cute. What a waste.",True
465,Ahri,Come closer...,True
466,Ahri,Ahri laughs,False
467,Ahri,Let's be young forever...!,True
468,Ahri,"Maybe I like you, maybe not.",True
469,Ahri,Ahri sighs,False
470,Ahri,Being bad does have its charms.,True
471,Ahri,Let's pretend this is love.,True
472,Ahri,This will make your heart go Supernova.,True
473,Ahri,Say hello to your teen dream.,True
474,Ahri,Kiko Spirit Dash!,True
475,Ahri,Maximum sass achieved!,True
481,Ahri,Oh Kiko... You can dance on the corpse of the next one.,True
483,Ahri,"No Kiko, they dress that way on purpose.",True
484,Ahri,"Everyone sparkles, I'm just a tiny bit brighter!",True
485,Ahri,Young love never lasts.,True
486,Ahri,Learn to take a hint.,True
487,Ahri,"*Giggles* ""My bad!""",False
488,Ahri,"Next time, I'll try caring! I promise.",True
489,Ahri,That was totally worth it!,True
490,Ahri,I love the sound you make when you shut up.,True
491,Ahri,How embarrassing. For you.,True
492,Ahri,"Too bad, so sad.",True
493,Ahri,Overreact much?,True
494,Ahri,"Chase the light, and you're going to get burned!",True
495,Ahri,Bad choices make the best stories.,True
496,Ahri,Jealousy is an illness. Hope you get better soon.,True
497,Ahri,"I know, that was totes unfair!",True
498,Ahri,I'm the girl your team told you not to worry about.,True
499,Ahri,"Aww, sad face... just kidding.",True
500,Ahri,Jealous much?,True
501,Ahri,How tragic.,True
502,Ahri,I totally meant that.,True
503,Ahri,Looks like someone forgot how to be awesome.,True
504,Ahri,Keep trying! You'll get there.,True
505,Ahri,That's not swagger! That's sparkle.,True
506,Ahri,"*Giggles* ""Oops!""",False
507,Ahri,"Being bad feels preety good, huh?",True
508,Ahri,No regrets...,True
509,Ahri,Not everyone has what it takes.,True
510,Ahri,Don't lose your sparkle!,True
511,Ahri,It takes more than stardust to get this right.,True
512,Ahri,True stars defy darkness!,True
513,Ahri,Crushed it!,True
514,Ahri,You were dulling my twinkle.,True
515,Ahri,"*Giggles* ""That was sooo much fun!""",False
516,Ahri,Don't like me? I'll try to remember to cry about it later.,True
517,Ahri,Go ahead. Eat your heart out.,True
518,Ahri,Done-zo!,True
519,Ahri,I don't think death is your colour!,True
520,Ahri,That was amaze-balls!,True
521,Ahri,Haters gonna hate.,True
522,Ahri,I guess you couldn't hang with the cool kids!,True
523,Ahri,"It's not the big lies that tear us apart, Janna! It's the little secrets.",True
524,Ahri,Just a rebel without a cause...,True
525,Ahri,Not everything is starshine and rainbows...,True
526,Ahri,"Suck it up, Starlight.",True
527,Ahri,Being a good girl can get you killed!,True
528,Ahri,"We're not sisters, just strangers with memories.",True
529,Ahri,You were never alone.,True
530,Ahri,"Sorry, sister.",True
531,Ahri,"Lemme guess, hammer?",True
532,Ahri,Sacrifice was always in your destiny!,True
533,Ahri,So pure... So bright...,True
534,Ahri,Destiny is crueler than you can imagine.,True
535,Ahri,Mystery did have its charm... just not enough.,True
536,Ahri,There are no good girls gone wrong. Just bad girls found out.,True
537,Ahri,Awkward!,True
538,Ahri,"For the last time, the sparkles are for Star Guardians!",True
539,Ahri,Burning bright has a price.,True
540,Ahri,"Next time, burn brighter.",True
541,Ahri,Some stars were meant to fall!,True
542,Ahri,All stars burn out eventually.,True
543,Ahri,"Some stars have it, some don't.",True
544,Ahri,The best defense is a good offense.,True
545,Ahri,Just one more!,True
546,Ahri,It's hard to be humble when you've got this much sparkle!,True
547,Ahri,Hashtag Killing it!,True
548,Ahri,Yum... strawberry!,True
549,Ahri,Totally worth the calories!,True
550,Ahri,Star guardians gotta stay hydrated!,True
551,Ahri,The stars see everything!,True
552,Ahri,Time for a fox-eye view!,True
553,Ahri,Eyes on the prize!,True
554,Ahri,"A shortened version of ""A New Horizon"" plays.",False
555,Ahri,"*Giggles* ""Just a fox on the run!""",False
556,Ahri,Byeee!,True
557,Ahri,I'm just too magical for this. Laters!,True
558,Ahri,Destiny can't catch me.,True
559,Ahri,"*Giggles* ""Shine on!""",False
560,Ahri,Goodbye... Kiko...,True
561,Ahri, Kiko cries.,False
562,Ahri,Tell them... I tried...,True
563,Ahri,Ahri cries.,False
565,Ahri,Come on Kiko! Time to play!,True
567,Ahri,Seize the day! Starlight doesn't last forever.,True
568,Ahri,My fight isn't over!,True
569,Ahri,Stars don't quit! We're reborn!,True
570,Ahri,Good girls get even!,True
571,Ahri,Everything finds its way to the spirit realm eventually. Our opponents seem eager to get there quickly.,True
572,Ahri,Hello everyone! I'm Ahri. I'll be your guide to the afterlife.,True
573,Ahri,Oh. I'm here early. Usually I don't show up until after someone dies.,True
574,Ahri,"Well, we're here. Might as well have some fun. Who's up for a spirited chase?",True
575,Ahri,"Hey, another spirit! Meet any interesting mortals lately? Me neither.",True
576,Ahri,Careful. If you see a light out there... don't follow it.,True
577,Ahri,Death is so full of life.,True
578,Ahri,Spirits can't find their way without me.,True
579,Ahri,I wonder what it's like... to meet me.,True
580,Ahri,Moving forward's not so hard.,True
581,Ahri,Life must be so wondrous.,True
582,Ahri,You can't find peace standing still.,True
583,Ahri,Run faster! Ehehe!,True
584,Ahri,"Mortals. Slow to learn, quick to follow.",True
585,Ahri,"Death isn't a cycle, just a moment.",True
586,Ahri,Mortals can't help but chase death.,True
587,Ahri,Spirits follow wherever I go.,True
